"Kod";"Nazwa";"Wskaźniki";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0800000;"LUBUSKIE";"ogółem";"2018";445,81;"zł";"";
0800000;"LUBUSKIE";"ogółem";"2019";518,35;"zł";"";
0800000;"LUBUSKIE";"ogółem";"2020";624,99;"zł";"";
0800000;"LUBUSKIE";"ogółem";"2021";554,29;"zł";"";
0800000;"LUBUSKIE";"ogółem";"2022";698,27;"zł";"";
0800000;"LUBUSKIE";"ogółem";"2023";1131,63;"zł";"";
1000000;"ŁÓDZKIE";"ogółem";"2002";86;"zł";"";
1000000;"ŁÓDZKIE";"ogółem";"2003";91;"zł";"";
1000000;"ŁÓDZKIE";"ogółem";"2004";101;"zł";"";
1000000;"ŁÓDZKIE";"ogółem";"2005";125;"zł";"";
1000000;"ŁÓDZKIE";"ogółem";"2006";150,84;"zł";"";
1000000;"ŁÓDZKIE";"ogółem";"2007";218,51;"zł";"";
1000000;"ŁÓDZKIE";"ogółem";"2008";260,33;"zł";"";
1000000;"ŁÓDZKIE";"ogółem";"2009";559,95;"zł";"";
1000000;"ŁÓDZKIE";"ogółem";"2010";338,96;"zł";"";
1000000;"ŁÓDZKIE";"ogółem";"2011";377,02;"zł";"";
1000000;"ŁÓDZKIE";"ogółem";"2012";357,05;"zł";"";
1000000;"ŁÓDZKIE";"ogółem";"2013";299,21;"zł";"";
1000000;"ŁÓDZKIE";"ogółem";"2014";290,96;"zł";"";
1000000;"ŁÓDZKIE";"ogółem";"2015";300,11;"zł";"";
1000000;"ŁÓDZKIE";"ogółem";"2016";259,75;"zł";"";
1000000;"ŁÓDZKIE";"ogółem";"2017";260,52;"zł";"";
1000000;"ŁÓDZKIE";"ogółem";"2018";325,21;"zł";"";
1000000;"ŁÓDZKIE";"ogółem";"2019";388,95;"zł";"";
1000000;"ŁÓDZKIE";"ogółem";"2020";426,29;"zł";"";
1000000;"ŁÓDZKIE";"ogółem";"2021";443,60;"zł";"";
1000000;"ŁÓDZKIE";"ogółem";"2022";552,43;"zł";"";
1000000;"ŁÓDZKIE";"ogółem";"2023";761,58;"zł";"";
1200000;"MAŁOPOLSKIE";"ogółem";"2002";113;"zł";"";
1200000;"MAŁOPOLSKIE";"ogółem";"2003";118;"zł";"";
1200000;"MAŁOPOLSKIE";"ogółem";"2004";130;"zł";"";
1200000;"MAŁOPOLSKIE";"ogółem";"2005";164;"zł";"";
1200000;"MAŁOPOLSKIE";"ogółem";"2006";192,29;"zł";"";
1200000;"MAŁOPOLSKIE";"ogółem";"2007";221,76;"zł";"";
1200000;"MAŁOPOLSKIE";"ogółem";"2008";281,30;"zł";"";
1200000;"MAŁOPOLSKIE";"ogółem";"2009";455,07;"zł";"";
1200000;"MAŁOPOLSKIE";"ogółem";"2010";359,90;"zł";"";
1200000;"MAŁOPOLSKIE";"ogółem";"2011";420,39;"zł";"";
1200000;"MAŁOPOLSKIE";"ogółem";"2012";341,13;"zł";"";
1200000;"MAŁOPOLSKIE";"ogółem";"2013";329,87;"zł";"";
1200000;"MAŁOPOLSKIE";"ogółem";"2014";361,49;"zł";"";
1200000;"MAŁOPOLSKIE";"ogółem";"2015";328,66;"zł";"";
1200000;"MAŁOPOLSKIE";"ogółem";"2016";330,22;"zł";"";
