"Kod";"Nazwa";"Okresy";"Lokalizacje";"Płeć";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
1800000;"PODKARPACKIE";"rok";"na wsi";"mężczyźni";"2019";620482;"osoba";"";
1800000;"PODKARPACKIE";"rok";"na wsi";"mężczyźni";"2020";614166;"osoba";"";
1800000;"PODKARPACKIE";"rok";"na wsi";"mężczyźni";"2021";610638;"osoba";"";
1800000;"PODKARPACKIE";"rok";"na wsi";"mężczyźni";"2022";609825;"osoba";"";
1800000;"PODKARPACKIE";"rok";"na wsi";"mężczyźni";"2023";608681;"osoba";"";
1800000;"PODKARPACKIE";"rok";"na wsi";"kobiety";"2019";626073;"osoba";"";
1800000;"PODKARPACKIE";"rok";"na wsi";"kobiety";"2020";619492;"osoba";"";
1800000;"PODKARPACKIE";"rok";"na wsi";"kobiety";"2021";616085;"osoba";"";
1800000;"PODKARPACKIE";"rok";"na wsi";"kobiety";"2022";615046;"osoba";"";
1800000;"PODKARPACKIE";"rok";"na wsi";"kobiety";"2023";613834;"osoba";"";
2000000;"PODLASKIE";"rok";"w miastach";"mężczyźni";"2019";340982;"osoba";"";
2000000;"PODLASKIE";"rok";"w miastach";"mężczyźni";"2020";334715;"osoba";"";
2000000;"PODLASKIE";"rok";"w miastach";"mężczyźni";"2021";332166;"osoba";"";
2000000;"PODLASKIE";"rok";"w miastach";"mężczyźni";"2022";330123;"osoba";"";
2000000;"PODLASKIE";"rok";"w miastach";"mężczyźni";"2023";328260;"osoba";"";
2000000;"PODLASKIE";"rok";"w miastach";"kobiety";"2019";375941;"osoba";"";
2000000;"PODLASKIE";"rok";"w miastach";"kobiety";"2020";369944;"osoba";"";
2000000;"PODLASKIE";"rok";"w miastach";"kobiety";"2021";367517;"osoba";"";
2000000;"PODLASKIE";"rok";"w miastach";"kobiety";"2022";365664;"osoba";"";
2000000;"PODLASKIE";"rok";"w miastach";"kobiety";"2023";363873;"osoba";"";
2000000;"PODLASKIE";"rok";"na wsi";"mężczyźni";"2019";233236;"osoba";"";
2000000;"PODLASKIE";"rok";"na wsi";"mężczyźni";"2020";228255;"osoba";"";
